payload_ratio,payload_regime,alpha,auc,psnr,ber,mean_shift_l2,fisher_separation,js_lsb_mean,tradeoff_score_legacy,tradeoff_score_payload_aware,tradeoff_score_constrained
0.01,low,0.0,0.5991735537190083,71.45260452144824,0.0,0.002906068452369623,0.040308344823794265,0.00038855212359880775,0.0538316316843174,0.0538316316843174,1.0538316316843175
0.01,low,0.25,0.6694214876033058,71.61212961079453,0.0,0.0030852847665205543,0.04425511439314856,0.0015487972907942838,0.1241943324524154,0.1241943324524154,1.1241943324524155
0.01,low,0.5,0.731404958677686,71.24410313171704,0.0,0.002878800806559145,0.039665066091754325,0.00038855212359880775,0.18149353569996762,0.18149353569996762,1.1814935356999676
0.01,low,0.75,0.6983471074380165,71.16342691423671,0.0,0.0030284716387717083,0.04278902923675887,0.00038855212359880775,0.1545742175557212,0.1545742175557212,1.1545742175557212
0.01,low,1.0,0.7024793388429752,71.03221014101766,0.0,0.002883823764568506,0.04019232997970202,0.00038855212359880775,0.15747437070359122,0.15747437070359122,1.157474370703591
0.03,low,0.0,0.6694214876033058,66.49102399215509,0.0,0.002896771070581059,0.040612367537564205,0.00038855212359880775,0.1934868298276783,0.17205825839910688,1.1720582583991068
0.03,low,0.25,0.6198347107438016,66.38334215799115,0.0,0.0028645164271190863,0.04031214146682272,0.00038855212359880775,0.14776256908879254,0.1263339976602211,1.1263339976602211
0.03,low,0.5,0.6528925619834711,66.3744880370466,0.0,0.003435301911670376,0.05048583393886516,0.0034789522274092516,0.1948014096068743,0.1733728381783029,1.1733728381783028
0.03,low,0.75,0.5950413223140496,66.3130095306791,0.0,0.002930614717633824,0.04135374706280863,0.0034789522274092516,0.13093269759718718,0.10950412616861577,1.1095041261686158
0.03,low,1.0,0.5909090909090908,66.30429750204239,0.0,0.002933344431554822,0.04212963947878016,0.0034789522274092516,0.1278975962103327,0.10646902478176126,1.1064690247817612
0.05,medium,0.0,0.640495867768595,64.20581774215356,0.0,0.003885648087426388,0.059359956436904,0.0003934466949997986,0.22360861708476287,0.18075147422762,0.18075147422762
0.05,medium,0.25,0.6735537190082644,64.23544414728265,0.0,0.0034555809720139318,0.05182797578162938,0.0,0.24568577691608062,0.20282863405893775,0.20282863405893775
0.05,medium,0.5,0.6983471074380165,64.20581774215356,0.0,0.003716024141291468,0.05628860418137563,0.00038855212359880775,0.2751609734202728,0.23230383056312992,0.23230383056312992
0.05,medium,0.75,0.6776859504132231,64.2516895957231,0.0,0.00331184300997294,0.045574975583824694,0.0003934466949997986,0.24357438925583907,0.2007172463986962,0.2007172463986962
0.05,medium,1.0,0.6570247933884297,64.25440308835685,0.0,0.0033547337166288205,0.04930813972612761,0.0003934466949997986,0.22759325772777816,0.1847361148706353,0.1847361148706353
0.1,medium,0.0,0.6983471074380165,61.11309640183109,0.0,0.0049054605024649875,0.09220020583617437,0.0015487972907942838,0.36889446125657366,0.2724658898280022,0.2724658898280022
0.1,medium,0.25,0.7231404958677685,61.1714274289077,0.0,0.00567686082567351,0.12220810657071027,0.0034789522274092516,0.4246460720089627,0.32821750058039123,0.32821750058039123
0.1,medium,0.5,0.6446280991735537,61.147469964923246,0.0,0.005399022029907487,0.10913099533752021,0.0015487972907942838,0.334644043321213,0.23821547189264158,0.23821547189264158
0.1,medium,0.75,0.768595041322314,61.132894087622695,0.0,0.00525960706021572,0.1053479546830074,0.0015487972907942838,0.44861168399196216,0.35218311256339074,0.35218311256339074
0.1,medium,1.0,0.6942148760330579,61.15677105880516,0.0,0.005860659949510913,0.12346523812561429,0.0015487972907942838,0.39634082266968373,0.2999122512411123,0.2999122512411123
0.15,high,0.0,0.8966942148760331,59.396301874733915,0.0,0.008751817025333071,0.2661375419808076,0.0015487972907942838,0.7655911955360779,0.615591195536078,0.615591195536078
0.15,high,0.25,0.9256198347107437,59.396301874733915,0.0,0.008604218437189183,0.2850415732514729,0.0015487972907942838,0.8107668107202759,0.6607668107202759,0.6607668107202759
0.15,high,0.5,0.7892561983471074,59.39541510702914,0.0,0.008190753118238728,0.24218264378467896,0.0,0.6371774350009096,0.4871774350009096,0.4871774350009096
0.15,high,0.75,0.8512396694214877,59.41496594545265,0.0,0.008282725198437757,0.2623418419934195,0.00038855212359880775,0.7156701995491193,0.5656701995491192,0.5656701995491192
0.15,high,1.0,0.8760330578512396,59.45253645419978,0.0,0.008747373586399314,0.27765799115344936,0.0,0.7536589641664104,0.6036589641664104,0.6036589641664104
