alpha,mean_shift_l2,fisher_separation,js_lsb_mean,js_lsb_transition,kl_cover_to_stego,kl_stego_to_cover,delta_mean_intensity,delta_grad_x_mean,delta_grad_y_mean,delta_lsb_mean,payload_ratio
0.0,0.002906068452369623,0.040308344823794265,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009697629910476735,0.00015468277165364697,0.0006193802277474347,0.0003147409373124854,0.01
0.25,0.0030852847665205543,0.04425511439314856,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0009871410563562222,0.00015383506115007606,0.0006146515925946616,0.0002956674509843604,0.01
0.5,0.002878800806559145,0.039665066091754325,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009871410563562222,0.00021940017040300575,0.0005725839588599513,0.00031516479256415986,0.01
0.75,0.0030284716387717083,0.04278902923675887,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009820547933543367,0.00017514703302623502,0.0006385464324116796,0.0003126216610537802,0.01
1.0,0.002883823764568506,0.04019232997970202,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009761208198142413,0.0002066315309443567,0.0006253009557948275,0.0003185556345781104,0.01
0.0,0.002896771070581059,0.040612367537564205,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0010235926080213176,6.23882905879114e-05,3.848660524319314e-05,9.89986141787802e-05,0.03
0.25,0.0028645164271190863,0.04031214146682272,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0010299504367878853,2.704935897401839e-05,0.00015517925423669254,0.00014265570510757497,0.03
0.5,0.003435301911670376,0.05048583393886516,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0010350366998181926,0.0003103261759305198,0.00017120253507663108,2.9062497642284857e-05,0.03
0.75,0.002930614717633824,0.04135374706280863,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0010316458578074617,7.165593277402849e-05,5.337077509448562e-05,2.821478713882497e-05,0.03
1.0,0.002933344431554822,0.04212963947878016,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0010346128445632985,3.561918234584738e-05,6.7017361875088e-05,9.306464065444997e-05,0.03
0.0,0.003885648087426388,0.059359956436904,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010354605550730867,0.0007899183932700282,0.0007647985696568327,0.00020750555862319997,0.05
0.25,0.0034555809720139318,0.05182797578162938,0.0,0.0,0.0,0.0,0.0010388513970838176,0.000573288623203716,0.0005810308270763898,0.00024819566278982963,0.05
0.5,0.003716024141291468,0.05628860418137563,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0010528386203816353,0.0004035610858359462,0.0005925146553025229,0.0002392947025034453,0.05
0.75,0.00331184300997294,0.045574975583824694,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010447853705954913,0.00036824864517637224,0.0005104059457554655,0.00028464721443915986,0.05
1.0,0.0033547337166288205,0.04930813972612761,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010507193441355867,0.0003626987904734591,0.0006231779336705046,0.00023208916322386974,0.05
0.0,0.0049054605024649875,0.09220020583617437,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.001104972816335703,0.0016622654832501027,0.0019426525778012405,2.3071698321219802e-05,0.1
0.25,0.00567686082567351,0.12220810657071027,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0011041251058543367,0.0022039392494921373,0.0018209531386466082,4.0025908390695086e-05,0.1
0.5,0.005399022029907487,0.10913099533752021,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0011147214871414235,0.002136281354933267,0.002000137946318148,7.869735055510141e-06,0.1
0.75,0.00525960706021572,0.1053479546830074,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0010994626980789235,0.0018431192209744651,0.0019668918000101954,0.0001248537845346953,0.1
1.0,0.005860659949510913,0.12346523812561429,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.001085899330007578,0.002285624103786965,0.0023260428984732684,0.0002019954403506552,0.1
0.0,0.008751817025333071,0.2661375419808076,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0010867470405173663,0.004757415477146587,0.004435358558738223,1.8889971600655198e-05,0.15
0.25,0.008604218437189183,0.2850415732514729,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0010964957113230867,0.004645107080913036,0.0040341133355870085,5.4069957494740084e-05,0.15
0.5,0.008190753118238728,0.24218264378467896,0.0,0.0,0.0,0.0,0.0010799653564959044,0.004442146642714029,0.0040830421262096905,0.00012909233705199474,0.15
0.75,0.008282725198437757,0.2623418419934195,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0011032773953445485,0.004565554748352518,0.004200052666641696,0.00026854071487319997,0.15
1.0,0.008747373586399314,0.27765799115344936,0.0,0.0,0.0,0.0,0.0010914094482927794,0.004151925004564738,0.00396857471728751,0.00035415947572386974,0.15
