payload_regime,alpha,auc_mean,psnr_mean,mean_shift_l2_mean,tradeoff_payload_aware_mean
high,0.0,0.8966942148760331,59.396301874733915,0.008751817025333071,0.615591195536078
high,0.25,0.9256198347107437,59.396301874733915,0.008604218437189183,0.6607668107202759
high,0.5,0.7892561983471074,59.39541510702914,0.008190753118238728,0.4871774350009096
high,0.75,0.8512396694214877,59.41496594545265,0.008282725198437757,0.5656701995491192
high,1.0,0.8760330578512396,59.45253645419978,0.008747373586399314,0.6036589641664104
low,0.0,0.634297520661157,68.97181425680166,0.002901419761475341,0.11294494504171214
low,0.25,0.6446280991735538,68.99773588439284,0.00297490059681982,0.12526416505631827
low,0.5,0.6921487603305785,68.80929558438183,0.0031570513591147606,0.17743318693913526
low,0.75,0.6466942148760331,68.7382182224579,0.002979543178202766,0.1320391718621685
low,1.0,0.6466942148760331,68.66825382153002,0.002908584098061664,0.13197169774267625
medium,0.0,0.6694214876033058,62.65945707199232,0.004395554294945688,0.2266086820278111
medium,0.25,0.6983471074380165,62.70343578809518,0.004566220898843721,0.26552306731966446
medium,0.5,0.671487603305785,62.6766438535384,0.004557523085599478,0.23525965122788575
medium,0.75,0.7231404958677685,62.6922918416729,0.00428572503509433,0.27645017948104345
medium,1.0,0.6756198347107438,62.70558707358101,0.004607696833069867,0.2423241830558738
