payload_ratio,alpha,mse,psnr,ber
0.01,0.0,0.0046539306640625,71.45260452144824,0.0
0.01,0.25,0.004486083984375,71.61212961079453,0.0
0.01,0.5,0.0048828125,71.24410313171704,0.0
0.01,0.75,0.004974365234375,71.16342691423671,0.0
0.01,1.0,0.005126953125,71.03221014101766,0.0
0.03,0.0,0.01458740234375,66.49102399215509,0.0
0.03,0.25,0.01495361328125,66.38334215799115,0.0
0.03,0.5,0.014984130859375,66.3744880370466,0.0
0.03,0.75,0.01519775390625,66.3130095306791,0.0
0.03,1.0,0.015228271484375,66.30429750204239,0.0
0.05,0.0,0.024688720703125,64.20581774215356,0.0
0.05,0.25,0.0245208740234375,64.23544414728265,0.0
0.05,0.5,0.024688720703125,64.20581774215356,0.0
0.05,0.75,0.0244293212890625,64.2516895957231,0.0
0.05,1.0,0.0244140625,64.25440308835685,0.0
0.1,0.0,0.050323486328125,61.11309640183109,0.0
0.1,0.25,0.049652099609375,61.1714274289077,0.0
0.1,0.5,0.0499267578125,61.147469964923246,0.0
0.1,0.75,0.0500946044921875,61.132894087622695,0.0
0.1,1.0,0.0498199462890625,61.15677105880516,0.0
0.15,0.0,0.0747222900390625,59.396301874733915,0.0
0.15,0.25,0.0747222900390625,59.396301874733915,0.0
0.15,0.5,0.074737548828125,59.39541510702914,0.0
0.15,0.75,0.07440185546875,59.41496594545265,0.0
0.15,1.0,0.073760986328125,59.45253645419978,0.0
