payload_ratio,alpha,seed,model,auc,accuracy
0.1,0.0,7,logreg,0.8429752066115702,0.7727272727272727
0.1,0.0,7,rf,0.8264462809917356,0.7727272727272727
0.1,0.0,21,logreg,0.8347107438016529,0.7272727272727273
0.1,0.0,21,rf,0.8347107438016528,0.8181818181818182
0.1,0.0,42,logreg,0.7355371900826446,0.6818181818181818
0.1,0.0,42,rf,0.6611570247933884,0.5909090909090909
0.1,0.0,84,logreg,0.743801652892562,0.6818181818181818
0.1,0.0,84,rf,0.6776859504132232,0.5454545454545454
0.1,0.0,126,logreg,0.7933884297520661,0.7727272727272727
0.1,0.0,126,rf,0.6528925619834711,0.7272727272727273
0.1,0.25,7,logreg,0.768595041322314,0.6818181818181818
0.1,0.25,7,rf,0.7603305785123967,0.7272727272727273
0.1,0.25,21,logreg,0.8512396694214877,0.7727272727272727
0.1,0.25,21,rf,0.8181818181818181,0.8181818181818182
0.1,0.25,42,logreg,0.7272727272727272,0.6363636363636364
0.1,0.25,42,rf,0.7190082644628099,0.6818181818181818
0.1,0.25,84,logreg,0.7768595041322314,0.6363636363636364
0.1,0.25,84,rf,0.7520661157024794,0.6818181818181818
0.1,0.25,126,logreg,0.8347107438016529,0.7272727272727273
0.1,0.25,126,rf,0.7272727272727273,0.6818181818181818
0.1,0.5,7,logreg,0.9173553719008265,0.8181818181818182
0.1,0.5,7,rf,0.8264462809917356,0.7272727272727273
0.1,0.5,21,logreg,0.859504132231405,0.7272727272727273
0.1,0.5,21,rf,0.8099173553719008,0.7727272727272727
0.1,0.5,42,logreg,0.6859504132231404,0.6363636363636364
0.1,0.5,42,rf,0.6033057851239669,0.5454545454545454
0.1,0.5,84,logreg,0.7520661157024793,0.5909090909090909
0.1,0.5,84,rf,0.7107438016528925,0.6363636363636364
0.1,0.5,126,logreg,0.859504132231405,0.7272727272727273
0.1,0.5,126,rf,0.7603305785123967,0.6818181818181818
0.1,0.75,7,logreg,0.8842975206611571,0.8636363636363636
0.1,0.75,7,rf,0.8264462809917356,0.7272727272727273
0.1,0.75,21,logreg,0.7355371900826446,0.5909090909090909
0.1,0.75,21,rf,0.7107438016528926,0.6818181818181818
0.1,0.75,42,logreg,0.7933884297520661,0.7272727272727273
0.1,0.75,42,rf,0.743801652892562,0.6818181818181818
0.1,0.75,84,logreg,0.7355371900826446,0.6363636363636364
0.1,0.75,84,rf,0.6942148760330579,0.5909090909090909
0.1,0.75,126,logreg,0.7520661157024794,0.7272727272727273
0.1,0.75,126,rf,0.628099173553719,0.5909090909090909
0.1,1.0,7,logreg,0.8181818181818182,0.7727272727272727
0.1,1.0,7,rf,0.768595041322314,0.7272727272727273
0.1,1.0,21,logreg,0.7520661157024794,0.6363636363636364
0.1,1.0,21,rf,0.7355371900826446,0.7272727272727273
0.1,1.0,42,logreg,0.6942148760330579,0.6363636363636364
0.1,1.0,42,rf,0.6942148760330579,0.6818181818181818
0.1,1.0,84,logreg,0.71900826446281,0.6818181818181818
0.1,1.0,84,rf,0.7520661157024793,0.7727272727272727
0.1,1.0,126,logreg,0.8181818181818181,0.8181818181818182
0.1,1.0,126,rf,0.7024793388429752,0.7272727272727273
0.15,0.0,7,logreg,0.9256198347107438,0.8181818181818182
0.15,0.0,7,rf,0.9090909090909091,0.8636363636363636
0.15,0.0,21,logreg,0.9008264462809918,0.7727272727272727
0.15,0.0,21,rf,0.9008264462809917,0.7727272727272727
0.15,0.0,42,logreg,0.9586776859504131,0.9090909090909091
0.15,0.0,42,rf,0.8347107438016529,0.6363636363636364
0.15,0.0,84,logreg,0.9090909090909091,0.8181818181818182
0.15,0.0,84,rf,0.9421487603305785,0.8181818181818182
0.15,0.0,126,logreg,0.9338842975206612,0.8181818181818182
0.15,0.0,126,rf,0.9752066115702479,0.8636363636363636
0.15,0.25,7,logreg,1.0,0.9090909090909091
0.15,0.25,7,rf,0.9421487603305785,0.9090909090909091
0.15,0.25,21,logreg,0.8429752066115702,0.7727272727272727
0.15,0.25,21,rf,0.8016528925619835,0.7272727272727273
0.15,0.25,42,logreg,0.9669421487603305,0.8181818181818182
0.15,0.25,42,rf,0.884297520661157,0.7727272727272727
0.15,0.25,84,logreg,0.9338842975206612,0.9090909090909091
0.15,0.25,84,rf,0.9338842975206612,0.7727272727272727
0.15,0.25,126,logreg,0.9173553719008265,0.7727272727272727
0.15,0.25,126,rf,0.8677685950413222,0.7727272727272727
0.15,0.5,7,logreg,0.9917355371900827,0.9090909090909091
0.15,0.5,7,rf,0.9173553719008265,0.7727272727272727
0.15,0.5,21,logreg,0.9669421487603306,0.9090909090909091
0.15,0.5,21,rf,0.9752066115702479,0.9090909090909091
0.15,0.5,42,logreg,0.9008264462809917,0.7727272727272727
0.15,0.5,42,rf,0.6776859504132231,0.5909090909090909
0.15,0.5,84,logreg,0.8760330578512396,0.8181818181818182
0.15,0.5,84,rf,0.9256198347107438,0.8636363636363636
0.15,0.5,126,logreg,0.884297520661157,0.8181818181818182
0.15,0.5,126,rf,0.8512396694214877,0.7727272727272727
0.15,0.75,7,logreg,0.9173553719008264,0.8181818181818182
0.15,0.75,7,rf,0.9173553719008265,0.8181818181818182
0.15,0.75,21,logreg,0.9008264462809916,0.8181818181818182
0.15,0.75,21,rf,0.884297520661157,0.8636363636363636
0.15,0.75,42,logreg,0.9090909090909091,0.8636363636363636
0.15,0.75,42,rf,0.7933884297520661,0.6363636363636364
0.15,0.75,84,logreg,0.9090909090909091,0.7727272727272727
0.15,0.75,84,rf,0.9586776859504131,0.9090909090909091
0.15,0.75,126,logreg,0.9090909090909091,0.7272727272727273
0.15,0.75,126,rf,0.859504132231405,0.7727272727272727
0.15,1.0,7,logreg,0.9504132231404958,0.8636363636363636
0.15,1.0,7,rf,0.9256198347107438,0.7727272727272727
0.15,1.0,21,logreg,0.9173553719008264,0.8181818181818182
0.15,1.0,21,rf,0.8925619834710744,0.8181818181818182
0.15,1.0,42,logreg,0.9504132231404958,0.8181818181818182
0.15,1.0,42,rf,0.8016528925619835,0.6363636363636364
0.15,1.0,84,logreg,0.9173553719008265,0.8636363636363636
0.15,1.0,84,rf,0.8760330578512396,0.8636363636363636
0.15,1.0,126,logreg,0.9090909090909091,0.7272727272727273
0.15,1.0,126,rf,0.7768595041322314,0.7272727272727273
