payload_ratio,model,payload_regime,alpha_star,accuracy,auc,mse,psnr,ber,mean_shift_l2,fisher_separation,js_lsb_mean,js_lsb_transition,kl_cover_to_stego,kl_stego_to_cover,delta_mean_intensity,delta_grad_x_mean,delta_grad_y_mean,delta_lsb_mean,auc_excess,inv_psnr,payload_norm,auc_norm,divergence_proxy,divergence_norm,distortion_norm,tradeoff_score_legacy,tradeoff_score_payload_aware,feasible_payload,tradeoff_score_constrained
0.01,logreg,low,0.0,0.5909090909090909,0.6528925619834711,0.0046539306640625,71.45260452144824,0.0,0.002906068452369623,0.040308344823794265,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009697629910476735,0.00015468277165364697,0.0006193802277474347,0.0003147409373124854,0.15289256198347112,0.013995291098168796,0.0,0.254901960784314,0.009631268828023308,0.002721365973105359,0.010854490170891296,0.1048120238411802,0.1048120238411802,False,1.1048120238411803
0.01,rf,low,0.0,0.5454545454545454,0.5454545454545454,0.0046539306640625,71.45260452144824,0.0,0.002906068452369623,0.040308344823794265,0.00038855212359880775,0.0,0.0015519982968550915,0.0015568327087408136,0.0009697629910476735,0.00015468277165364697,0.0006193802277474347,0.0003147409373124854,0.045454545454545414,0.013995291098168796,0.0,0.0,0.009631268828023308,0.002721365973105359,0.010854490170891296,0.0028512395274545993,0.0028512395274545993,False,1.0028512395274547
0.03,logreg,low,1.0,0.4090909090909091,0.6363636363636364,0.015228271484375,66.30429750204239,0.0,0.002933344431554822,0.04212963947878016,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0010346128445632985,3.561918234584738e-05,6.7017361875088e-05,9.306464065444997e-05,0.13636363636363635,0.01508197866011923,0.14285714285714285,0.21568627450980404,0.010936285779756218,0.027680530189519107,0.3892010438049605,0.1710348511122935,0.14960627968372206,False,1.149606279683722
0.03,rf,low,0.75,0.5,0.5454545454545454,0.01519775390625,66.3130095306791,0.0,0.002930614717633824,0.04135374706280863,0.0034789522274092516,0.0,0.013910402197711613,0.013953696670360782,0.0010316458578074617,7.165593277402849e-05,5.337077509448562e-05,2.821478713882497e-05,0.045454545454545414,0.015079997229463087,0.14285714285714285,0.0,0.010779742439601414,0.024686553039474143,0.38851117903953436,0.08387387406777541,0.06244530263920399,False,1.062445302639204
0.05,logreg,medium,0.0,0.5909090909090909,0.6528925619834711,0.024688720703125,64.20581774215356,0.0,0.003885648087426388,0.059359956436904,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010354605550730867,0.0007899183932700282,0.0007647985696568327,0.00020750555862319997,0.15289256198347112,0.01557491260396271,0.28571428571428575,0.254901960784314,0.013932849339593933,0.08499145007879427,0.5608233806684584,0.23537332296711586,0.19251618010997298,True,0.19251618010997298
0.05,rf,medium,1.0,0.5909090909090909,0.628099173553719,0.0244140625,64.25440308835685,0.0,0.0033547337166288205,0.04930813972612761,0.0003934466949997986,0.0,0.0015781404114224122,0.00156987862481172,0.0010507193441355867,0.0003626987904734591,0.0006231779336705046,0.00023208916322386974,0.12809917355371903,0.015563135784249529,0.28571428571428575,0.19607843137254918,0.011657028812039873,0.04146513557469532,0.5567231044646391,0.20014227733562134,0.15728513447847847,True,0.15728513447847847
0.1,logreg,medium,0.5,0.6363636363636364,0.6859504132231404,0.0499267578125,61.147469964923246,0.0,0.005399022029907487,0.10913099533752021,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0011147214871414235,0.002136281354933267,0.002000137946318148,7.869735055510141e-06,0.18595041322314043,0.01635390639340666,0.642857142857143,0.3333333333333333,0.024990349269696073,0.29647219461006313,0.8320417380493681,0.3738597295957228,0.27743115816715136,True,0.27743115816715136
0.1,rf,medium,0.5,0.5454545454545454,0.6033057851239669,0.0499267578125,61.147469964923246,0.0,0.005399022029907487,0.10913099533752021,0.0015487972907942838,0.0,0.006185603962481995,0.006211259999138109,0.0011147214871414235,0.002136281354933267,0.002000137946318148,7.869735055510141e-06,0.10330578512396693,0.01635390639340666,0.642857142857143,0.1372549019607844,0.024990349269696073,0.29647219461006313,0.8320417380493681,0.2954283570467032,0.19899978561813178,True,0.19899978561813178
0.15,logreg,high,0.5,0.7727272727272727,0.9008264462809917,0.074737548828125,59.39541510702914,0.0,0.008190753118238728,0.24218264378467896,0.0,0.0,0.0,0.0,0.0010799653564959044,0.004442146642714029,0.0040830421262096905,0.00012909233705199474,0.40082644628099173,0.01683631637556575,1.0,0.843137254901961,0.052531905316055165,0.8232195439252069,1.0,0.7430597879420862,0.5930597879420861,True,0.5930597879420861
0.15,rf,high,0.5,0.5909090909090909,0.6776859504132231,0.074737548828125,59.39541510702914,0.0,0.008190753118238728,0.24218264378467896,0.0,0.0,0.0,0.0,0.0010799653564959044,0.004442146642714029,0.0040830421262096905,0.00012909233705199474,0.1776859504132231,0.01683631637556575,1.0,0.3137254901960785,0.052531905316055165,0.8232195439252069,1.0,0.5312950820597331,0.38129508205973306,True,0.38129508205973306
